dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,feature_set,n_features
urbansound8k,secondary,IForest,0.7489042706020635,0.018416119422784972,0.27555280553544703,0.013555757472043626,0.6050012716262382,0.012606813838153836,0.3323076923076923,0.027947541730130702,mfcc+chroma,64
urbansound8k,secondary,CBLOF,0.7430847590440119,0.019210961794034247,0.24983207652334313,0.02378616714835301,0.5691757799880398,0.022068494081520056,0.2523076923076923,0.03861507814772657,mfcc+chroma,64
urbansound8k,secondary,HBOS,0.7294345043750816,0.018450394233032456,0.24987432696822603,0.008244126541466161,0.6054659307273015,0.005409396437888605,0.3507692307692308,0.016853001769389746,mfcc+chroma,64
urbansound8k,secondary,PCA,0.7264620608593444,0.025491558363220073,0.264222344436548,0.009632430648896975,0.6013664826818255,0.006741548561928774,0.32923076923076927,0.013760418323075624,mfcc+chroma,64
urbansound8k,secondary,COPOD,0.7206947890818858,0.01916275742776383,0.23513893535385327,0.009068741141888869,0.5941051531794093,0.006758999196664908,0.32923076923076927,0.020640627484613448,mfcc+chroma,64
urbansound8k,secondary,LODA,0.7140394410343477,0.06596058953004384,0.2386740874543048,0.05701832655540557,0.5824034423265949,0.03908298846484686,0.28,0.08661962006313385,mfcc+chroma,64
urbansound8k,secondary,ECOD,0.6462531017369727,0.021761179602021778,0.1530190021226659,0.011149890071762715,0.5147474275344885,0.008062038823244928,0.13846153846153847,0.024325212770525996,mfcc+chroma,64
urbansound8k,secondary,LOF,0.5166409821078751,0.031160829884984007,0.09740952287158713,0.0065328585117482175,0.4743853233711155,0.000709819326982565,0.015384615384615385,0.015384615384615385,mfcc+chroma,64
urbansound8k,primary,KNN,0.8435627530364374,0.02282687435845885,0.40780203178888924,0.02446794328788,0.6607823594509324,0.014602725761262455,0.42153846153846153,0.027947541730130695,full,74
urbansound8k,primary,GMM,0.8201332114405119,0.029699380029796326,0.4180703914506235,0.027066709466670703,0.657892674745503,0.016435844492815835,0.4184615384615385,0.03508232077228117,full,74
urbansound8k,primary,CBLOF,0.7975238343998955,0.035769730202489435,0.3721104746177564,0.0553237795617377,0.6365705958771816,0.03569927461751683,0.37538461538461537,0.0750542210316952,full,74
urbansound8k,primary,OCSVM,0.7869975186104219,0.030647928855199152,0.37956934533533987,0.028501605403706096,0.6770674236852415,0.021118463674587456,0.4953846153846154,0.053736151374070694,full,74
urbansound8k,primary,IForest,0.7546088546428106,0.03968730344170338,0.30576652470213045,0.03489781559717808,0.6337139047173896,0.020858343331952623,0.39384615384615385,0.049374789341172974,full,74
urbansound8k,primary,HBOS,0.7533237560402247,0.02403521734225336,0.2735000033977296,0.014448762209454279,0.6175443178928123,0.007741546294060342,0.37230769230769234,0.012871692715908857,full,74
urbansound8k,primary,PCA,0.7466161682120935,0.03276037923606179,0.33032743307691037,0.02096242509905716,0.6561687619859364,0.014722469270826715,0.4584615384615384,0.039822089555522404,full,74
urbansound8k,primary,LODA,0.739757085020243,0.03547545863526414,0.3170290247906652,0.05005480761711868,0.6343407820845047,0.02428868260918023,0.39692307692307693,0.06652845633981433,full,74
urbansound8k,primary,COPOD,0.7297897348831135,0.023253319439236957,0.24685249725596412,0.008254521009706417,0.5959610401215263,0.010240563567737292,0.3261538461538461,0.03673026580404097,full,74
urbansound8k,primary,ECOD,0.6790074441687345,0.023283149192285326,0.18500287246219552,0.01300731515711204,0.5467786614243588,0.010792264939275613,0.22153846153846155,0.01754116038614058,full,74
urbansound8k,primary,LOF,0.6742797440250751,0.013636051274019465,0.13652409746416314,0.004982029341840512,0.4804011465257109,0.004863251782463577,0.06153846153846154,0.018842228790639834,full,74
urbansound8k,secondary,KNN,0.7977536894345043,0.018230944346285256,0.2972605905939991,0.020614508872111956,0.6007698493982114,0.006263869751465671,0.3261538461538461,0.016853001769389756,full,74
urbansound8k,secondary,GMM,0.7732793522267206,0.03050633223701947,0.3088986217526632,0.0218940296898194,0.595215935882543,0.0065241570426960846,0.3384615384615385,0.01884222879063983,full,74
urbansound8k,secondary,OCSVM,0.7579051847982239,0.031183433161647435,0.326421421458511,0.028478472923125032,0.6514039441034348,0.018958856302167242,0.4461538461538462,0.04615384615384616,full,74
urbansound8k,secondary,CBLOF,0.7465482564973227,0.02699749763565668,0.26931283922126287,0.024680792090627353,0.5844462926939917,0.014855834599836103,0.27692307692307694,0.03440104580768906,full,74
urbansound8k,secondary,HBOS,0.7395846937442863,0.02629796292995771,0.26526681823782416,0.011916447730613617,0.6133596365211056,0.00589515554991729,0.38153846153846155,0.016853001769389725,full,74
urbansound8k,secondary,IForest,0.7306882591093118,0.03790167810554136,0.2680184522781781,0.05239309363904708,0.6120563914684191,0.03946870565819795,0.36000000000000004,0.09332769777294216,full,74
urbansound8k,secondary,COPOD,0.7283583648948675,0.025232499461397214,0.24637455516305792,0.013033141961382902,0.6023287944295898,0.007587527967058437,0.3507692307692308,0.02527950265408459,full,74
urbansound8k,secondary,PCA,0.7215776413739062,0.033769086810317026,0.29860969244635494,0.023089079661186316,0.6379205817861882,0.014331182038758602,0.4276923076923077,0.0398220895555224,full,74
urbansound8k,secondary,LODA,0.6870941622045187,0.0220865072429793,0.24676730462090785,0.03187835994268057,0.5841823443288907,0.019039021268235933,0.2892307692307693,0.02959289855641747,full,74
urbansound8k,secondary,ECOD,0.6527778503330286,0.024245580466891372,0.15972042555283206,0.01122489352309716,0.5195589862733103,0.008204374974717609,0.16923076923076924,0.028781979898261093,full,74
urbansound8k,secondary,LOF,0.5221209350920726,0.033128010393972486,0.0976178829270356,0.006636837331257808,0.4749352157984094,0.0013100400877850045,0.015384615384615385,0.015384615384615385,full,74
ravdess,primary,OCSVM,0.9766666666666668,0.034686092313779004,0.8935000000000001,0.14724129855444765,0.9105263157894736,0.11372258124385211,0.8,0.24494897427831777,mfcc,40
ravdess,primary,PCA,0.9674999999999999,0.05467708234108085,0.8825906460689069,0.16909967097528433,0.9052631578947368,0.12192666915013371,0.8,0.24494897427831777,mfcc,40
ravdess,primary,HBOS,0.9666666666666668,0.03535533905932742,0.8423419064595535,0.13005111643703895,0.8666666666666668,0.09632162127233239,0.68,0.17888543819998315,mfcc,40
ravdess,primary,LOF,0.96,0.048286615352727096,0.8413881208397338,0.10151185050516785,0.8824561403508773,0.06182499452224965,0.72,0.1095445115010333,mfcc,40
ravdess,primary,ECOD,0.9558333333333333,0.06452282111349796,0.8496017316017316,0.16705112906276526,0.881578947368421,0.11637279966159303,0.72,0.17888543819998315,mfcc,40
ravdess,primary,IForest,0.9550000000000001,0.07852812659593164,0.8821253229529091,0.170548900736031,0.9192982456140351,0.1062454170430861,0.8400000000000001,0.16733200530681513,mfcc,40
